ALGMN,Diploma,SSC,Gender
599,90.71,95.6,Male
600,90.71,91.6,Female
601,90.71,91.6,Female
602,90.71,89.2,Male
603,90.71,89.2,Female
604,90.71,87.4,Female
605,90.71,84.2,Female
606,90.71,83,Male
607,90.69,94,Male
608,90.69,94,Male
609,90.69,92.8,Male
610,90.69,92.6,Female
611,90.69,91.27,Male
612,90.69,89.8,Female
613,90.69,88.18,Female
614,90.69,87.6,Male
615,90.69,87.4,Female
616,90.67,87.8,Male
617,90.65,95.2,Male
618,90.65,93.6,Female
619,90.65,92.2,Female
620,90.65,92.6,Male
621,90.65,90.4,Male
622,90.65,90,Female
623,90.65,89.8,Female
624,90.65,89.6,Female
625,90.65,79.6,Male
626,90.64,88.6,Male
627,90.63,93.4,Male
628,90.63,92,Female
629,90.63,91.8,Male
630,90.63,91.8,Female
631,90.63,91.6,Female
632,90.63,91.4,Female
633,90.63,90,Male
634,90.61,95.4,Female
635,90.61,93.6,Male
636,90.61,86.8,Male
637,90.6,92.4,Male
638,90.6,92,Male
639,90.6,87.4,Male
640,90.59,93.45,Male
641,90.59,93,Female
642,90.59,91.2,Male
643,90.59,85.2,Female
644,90.57,88.6,Male
645,90.57,87.8,Female
646,90.57,84.18,Male
647,90.57,81.8,Male
648,90.56,92.8,Male
649,90.56,92.4,Male
650,90.56,92,Female
651,90.56,91.8,Male
652,90.56,91.4,Female
653,90.56,90.8,Male
654,90.56,89.4,Male
655,90.56,89,Male
656,90.56,86.6,Female
657,90.56,84.18,Male
658,90.56,74.8,Female
659,90.56,68.4,Male
660,90.53,94.4,Female
661,90.53,94,Male
662,90.53,91.64,Female
663,90.53,89.2,Female
664,90.53,87.6,Male
665,90.53,87.6,Female
666,90.52,92,Male
667,90.51,91.6,Male
668,90.5,91.2,Male
669,90.48,89.6,Female
670,90.48,87.6,Male
671,90.48,87.2,Female
672,90.48,85.6,Male
673,90.47,95.2,Male
674,90.47,95,Male
675,90.47,92.8,Male
676,90.47,90.4,Female
677,90.47,88.6,Female
678,90.47,82.73,Male
679,90.47,81.82,Male
680,90.47,69.4,Male
681,90.46,89,Female
682,90.45,89.6,Male
683,90.44,91.2,Female
684,90.44,90.8,Female
685,90.43,93.6,Male
686,90.42,95,Female
687,90.42,91,Male
688,90.42,88.6,Female
689,90.42,88.6,Male
690,90.41,92.8,Female
